"channel_id";"dialog_id";"channel_name"
"C0131DUJ3ST";45;"team-dev"
"C013B6XATNH";1;"random"
"C013BQFBD50";57;"test-bot"
"C013C16E5SP";61;"random"
"C013CJ2RK0A";0;"test"
"C013HP27C07";54;"channel3"
"C013J0A47FE";0;"asdasd"
"C013JPBK328";0;"general"
"C013NBJ64PN";1;"team-qat"
"C013PD85C30";0;"test22222222222222"
"C013UPVGU2Z";0;"test33333333333333333"
"C013X2YS6MB";0;"channel2"
"C013YL8RE83";0;"channel1"
"C0142AL1PAQ";0;"testttttttttttttt"
"C014LP12RC6";0;"chanel5"
"C014LV8RREV";60;"hello"
"C014NARC73J";59;"channel4"
"C014TF7EXCJ";0;"channel5"
"C014TM78KRR";0;"help-dev"
"C014TQQ1J2X";0;"channel6"
