"report_content_detail_id";"label";"value";"report_content_id"
14;"What you worked on yesterday";"wqda";"3mE3zmDoaTRtxRrn"
15;"What you plan on working on today";"adswqe";"3mE3zmDoaTRtxRrn"
16;"Any blockers";"qwsadcxz";"3mE3zmDoaTRtxRrn"
17;"What you worked on yesterday";"hello";"3nv1TSIRN2nLKatZ"
18;"What you plan on working on today";"goodbye";"3nv1TSIRN2nLKatZ"
19;"Any blockers";"hey";"3nv1TSIRN2nLKatZ"
22;"What you worked on yesterday";"test";"7PW4xz6T3rFT6QQt"
23;"What you plan on working on today";"test";"7PW4xz6T3rFT6QQt"
24;"Any blockers";"test";"7PW4xz6T3rFT6QQt"
27;"What you worked on yesterday";"eyyyyyy";"1Zt7UAnT6kkZFSrg"
28;"What you plan on working on today";"yeeeeeee";"1Zt7UAnT6kkZFSrg"
29;"Any blockers";"eyeyeyeyeyeyyeyey";"1Zt7UAnT6kkZFSrg"
30;"What you worked on yesterday";"sda";"QaTbVVNbfwzsJv6x"
31;"What you plan on working on today";"qweqewqwe";"QaTbVVNbfwzsJv6x"
32;"Any blockers";"wqeqweqweweqqwe";"QaTbVVNbfwzsJv6x"
33;"What you worked on yesterday";"new";"LDfOwVuPxfseiD1G"
34;"What you plan on working on today";"new";"LDfOwVuPxfseiD1G"
35;"Any blockers";"new";"LDfOwVuPxfseiD1G"
36;"What you worked on yesterday";"new";"0O0r3uZPhiOtKkOX"
37;"What you plan on working on today";"new";"0O0r3uZPhiOtKkOX"
38;"Any blockers";"new";"0O0r3uZPhiOtKkOX"
